Schooling,Adult Mortality,Income composition of resources, BMI , HIV/AIDS,Diphtheria , thinness  1-19 years,Polio, thinness 5-9 years,GDP,Alcohol,percentage expenditure,Life expectancy 
10.7,11.0,0.656,45.0,0.1,97.0,2.1,97.0,2.2,1175.788981,3.66,91.71154052,72.6
14.4,19.0,0.743,59.5,0.1,95.0,6.0,95.0,5.8,4132.76292,3.65,0.0,75.6
14.4,11.0,0.741,58.4,0.1,95.0,6.0,95.0,5.8,547.8517,0.01,54.2373183,75.4
14.4,112.0,0.737,57.2,0.1,95.0,5.9,95.0,5.8,5471.866766,0.53,544.4507432,75.3
14.4,113.0,0.732,56.1,0.1,95.0,5.9,95.0,5.8,5564.82566,0.66,555.9260834,75.1
14.0,116.0,0.724,55.0,0.1,95.0,5.9,95.0,5.8,5432.2523,0.56,509.0020405,74.9
13.6,119.0,0.714,53.9,0.1,95.0,5.9,95.0,5.8,4463.394675,0.45,430.7175861,74.7
13.1,123.0,0.705,52.8,0.1,95.0,6.0,94.0,5.9,3868.83123,0.5,352.0636419,74.4
12.6,126.0,0.697,51.8,0.1,93.0,6.0,92.0,5.9,495.254866,0.46,43.08717334,74.1
12.3,129.0,0.69,5.8,0.1,95.0,6.0,95.0,5.9,3935.183343,0.44,320.3239241,73.8
12.3,132.0,0.686,49.8,0.1,95.0,6.1,95.0,6.0,3464.6179,0.36,270.2401962,73.4
11.7,14.0,0.673,47.9,0.1,86.0,6.2,86.0,6.1,2598.9823,0.45,220.393699,72.3
11.5,146.0,0.663,47.0,0.1,87.0,6.3,87.0,6.1,294.33556,0.34,25.0185226,71.7
11.1,145.0,0.653,46.1,0.1,86.0,6.3,86.0,6.2,1774.33673,0.36,148.5119843,71.6
10.9,145.0,0.644,45.3,0.1,89.0,6.4,89.0,6.3,1732.857979,0.23,147.9860714,71.4
10.7,145.0,0.636,44.4,0.1,86.0,6.5,86.0,6.4,1757.17797,0.25,154.4559436,71.3
11.4,335.0,0.531,23.3,1.9,64.0,8.3,7.0,8.2,3695.793748,3.65,0.0,52.4
11.4,348.0,0.527,22.7,2.0,64.0,8.5,68.0,8.3,479.31224,8.33,23.965612,51.7
11.4,355.0,0.523,22.1,2.3,77.0,8.6,67.0,8.5,484.616884,8.1,35.95857279,51.1
10.3,358.0,0.508,21.5,2.6,75.0,8.8,75.0,8.6,4598.249988,8.24,256.1225243,56.0
9.4,361.0,0.495,21.0,2.5,71.0,8.9,73.0,8.8,4299.12889,8.06,239.8913921,51.0
9.0,365.0,0.488,2.4,2.5,77.0,9.1,81.0,9.0,3529.53482,7.8,191.6537407,49.6
8.5,369.0,0.48,19.8,2.5,6.0,9.3,63.0,9.2,3347.84485,7.01,212.9229325,49.1
8.1,371.0,0.468,19.3,2.6,69.0,9.5,65.0,9.4,3868.578883,7.07,249.9101958,48.7
7.7,375.0,0.454,18.8,2.6,73.0,9.6,75.0,9.6,2878.837144,6.35,184.8213446,48.2
7.2,381.0,0.439,18.2,2.5,34.0,9.8,36.0,9.7,262.415149,5.84,25.08688824,47.7
6.8,382.0,0.426,17.7,2.6,38.0,1.0,39.0,9.9,1443.991929,5.04,98.19145117,47.4
6.4,386.0,0.415,17.2,2.5,4.0,1.2,4.0,1.1,141.86844,3.53,8.8667775,47.1
5.9,388.0,0.406,16.8,2.4,4.0,1.4,4.0,1.3,779.468356,3.49,35.93349121,46.8
5.5,391.0,0.401,16.3,2.3,41.0,1.5,37.0,1.5,711.181716,2.82,24.037942,46.5
5.1,44.0,0.391,15.8,2.1,38.0,1.7,41.0,1.7,526.168743,2.58,30.35993647,45.7
4.6,48.0,0.382,15.4,2.0,28.0,1.9,3.0,1.9,555.2969419,1.85,15.88149254,45.3
13.9,13.0,0.784,47.7,0.2,99.0,3.3,86.0,3.3,13566.9541,3.65,0.0,76.4
13.9,131.0,0.782,47.0,0.2,99.0,3.3,96.0,3.3,12888.29667,8.56,2422.999774,76.2
13.9,133.0,0.781,46.4,0.2,99.0,3.3,98.0,3.3,12224.86416,8.58,1991.430372,76.1
13.8,134.0,0.778,45.7,0.2,98.0,3.3,97.0,3.3,12565.44197,8.18,2156.229842,75.9
14.1,136.0,0.782,45.1,0.1,99.0,3.3,99.0,3.3,11929.34991,7.84,1810.875316,75.7
14.1,138.0,0.783,44.4,0.1,98.0,3.3,99.0,3.3,12126.87614,7.84,1983.956937,75.6
14.2,14.0,0.788,43.8,0.1,99.0,3.4,98.0,3.3,1312.46692,7.82,149.3587355,75.4
14.4,142.0,0.786,43.2,0.1,99.0,3.4,99.0,3.3,1473.31923,8.27,180.7762695,75.2
14.5,144.0,0.781,42.6,0.1,99.0,3.4,98.0,3.3,14252.29452,8.64,257.9665308,75.0
14.7,145.0,0.773,42.0,0.1,99.0,3.4,99.0,3.4,12724.39377,8.93,216.3146941,74.8
0.0,147.0,0.0,41.4,0.1,99.0,3.5,98.0,3.4,11371.93895,8.15,1455.608186,74.6
0.0,149.0,0.0,4.8,0.1,97.0,3.5,97.0,3.4,1352.8374,7.28,22.86295206,74.4
0.0,151.0,0.0,4.1,0.1,99.0,3.5,99.0,3.5,9739.82556,7.16,1158.065259,74.2
0.0,153.0,0.0,39.5,0.1,98.0,3.6,93.0,3.5,9386.716452,7.21,927.4075855,74.0
0.0,154.0,0.0,38.9,0.1,97.0,3.6,99.0,3.5,9358.154162,7.51,163.7676978,73.8
0.0,156.0,0.0,38.2,0.1,95.0,3.7,96.0,3.6,9875.161736,7.27,1127.74347,73.6
17.3,116.0,0.826,62.8,0.1,94.0,1.0,93.0,0.9,13467.1236,3.65,0.0,76.3
17.3,118.0,0.825,62.2,0.1,94.0,1.0,92.0,0.9,12245.25645,7.93,847.3717463,76.2
17.2,12.0,0.822,61.0,0.1,91.0,1.0,99.0,0.9,12969.7712,8.35,1133.558003,75.9
17.1,12.0,0.816,6.4,0.1,91.0,1.0,93.0,0.9,12726.9836,8.11,1504.329462,75.7
16.8,121.0,0.802,59.8,0.1,94.0,1.0,95.0,0.9,1276.265,8.15,187.610955,75.5
16.5,126.0,0.794,59.2,0.1,94.0,1.0,97.0,0.9,8161.36966,8.33,1398.042623,75.6
16.3,126.0,0.792,58.6,0.1,93.0,1.0,94.0,0.9,8953.359275,8.41,1413.73543,75.4
16.3,129.0,0.788,58.0,0.1,91.0,1.1,92.0,0.9,7193.61764,8.16,1105.659031,74.8
16.1,127.0,0.782,57.5,0.1,91.0,1.1,92.0,0.9,5878.76127,7.75,961.1774676,75.2
16.3,127.0,0.78,56.9,0.1,98.0,1.1,95.0,1.0,576.883829,7.53,96.16653429,74.9
16.3,13.0,0.775,56.3,0.1,98.0,1.1,91.0,1.0,4251.574348,7.63,719.3663797,74.7
16.4,137.0,0.77,55.7,0.1,96.0,1.2,95.0,1.0,333.4376,7.62,57.58467352,74.1
16.3,138.0,0.776,55.1,0.1,93.0,1.2,94.0,1.0,2579.193168,7.81,470.1869145,74.1
15.6,138.0,0.771,54.6,0.1,83.0,1.2,85.0,1.1,717.694674,7.76,123.0128671,74.0
15.0,137.0,0.764,54.0,0.1,83.0,1.2,88.0,1.1,7669.273916,7.68,1349.025282,74.1
12.7,118.0,0.741,54.9,0.1,94.0,2.1,96.0,2.2,369.654776,3.65,0.0,74.8
12.7,12.0,0.739,54.1,0.1,93.0,2.1,95.0,2.1,3994.712355,3.91,295.6087143,74.6
12.7,123.0,0.736,53.3,0.1,95.0,2.1,96.0,2.1,3843.591213,3.79,279.4290812,74.4
12.7,121.0,0.732,52.6,0.1,95.0,2.0,96.0,2.1,3684.8481,3.89,274.1526986,74.4
12.7,128.0,0.729,51.9,0.1,95.0,2.0,96.0,2.1,3526.978143,4.09,260.9963826,73.9
12.3,132.0,0.72,51.2,0.1,94.0,2.0,96.0,2.1,3218.381655,4.23,224.3212014,73.5
11.9,137.0,0.725,5.7,0.1,93.0,2.0,94.0,2.1,2993.832531,3.96,201.1855461,73.3
12.3,14.0,0.721,5.1,0.1,89.0,2.0,91.0,2.1,41.26997,3.96,2.8888979,73.2
11.2,141.0,0.692,49.2,0.1,87.0,2.0,87.0,2.1,2158.299,4.01,244.5352767,72.9
10.9,137.0,0.679,48.8,0.1,9.0,2.0,92.0,2.1,1643.758397,4.25,20.21822828,73.0
10.9,132.0,0.668,48.4,0.1,91.0,2.0,93.0,2.1,1191.96192,3.81,97.74087744,73.0
10.8,134.0,0.657,48.1,0.1,94.0,2.0,96.0,2.1,93.1661567,3.03,7.341493148,72.7
10.8,134.0,0.645,47.8,0.1,94.0,2.1,96.0,2.1,783.261699,2.86,57.17810403,72.6
11.1,141.0,0.644,47.4,0.1,94.0,2.1,97.0,2.1,694.435119,2.86,53.19373012,72.6
11.2,142.0,0.639,47.1,0.1,93.0,2.1,96.0,2.2,622.7427477,2.9,32.75626853,72.0
20.4,6.0,0.936,66.1,0.1,92.0,0.6,92.0,0.6,62214.6912,9.71,10769.36305,82.7
20.3,61.0,0.933,65.5,0.1,91.0,0.6,91.0,0.6,67792.3386,9.87,11734.85381,82.5
20.1,61.0,0.93,65.0,0.1,92.0,0.6,92.0,0.6,67677.63477,10.03,11714.99858,82.3
19.8,63.0,0.927,64.4,0.1,92.0,0.6,92.0,0.6,62245.129,10.3,10986.26527,82.0
19.1,66.0,0.925,63.4,0.1,92.0,0.7,92.0,0.6,42742.99898,10.62,7172.275229,81.7
19.1,66.0,0.921,62.9,0.1,92.0,0.7,92.0,0.6,49664.6854,10.76,8547.292357,81.3
19.0,66.0,0.918,62.5,0.1,92.0,0.7,92.0,0.6,4991.98289,10.56,872.5986092,81.3
20.3,66.0,0.915,62.0,0.1,92.0,0.7,92.0,0.6,36118.28381,10.31,6187.062017,81.2
20.3,67.0,0.91,61.5,0.1,92.0,0.7,92.0,0.6,3416.71483,10.3,579.1331637,81.0
20.7,69.0,0.908,6.9,0.1,92.0,0.7,92.0,0.6,3472.37977,9.84,588.568371,86.0
20.6,71.0,0.905,6.3,0.1,93.0,0.7,92.0,0.7,23465.38559,9.97,3829.550928,83.0
20.1,73.0,0.902,59.6,0.1,92.0,0.7,92.0,0.7,281.81763,9.84,46.3871819,79.9
20.5,75.0,0.899,59.0,0.1,92.0,0.7,91.0,0.7,19517.84168,9.53,3064.301144,79.9
20.4,78.0,0.897,58.2,0.1,9.0,0.7,9.0,0.7,2169.921,10.17,347.18736,79.5
15.9,65.0,0.892,57.6,0.1,93.0,1.9,93.0,2.1,43665.947,3.65,0.0,81.5
15.9,66.0,0.892,57.1,0.1,98.0,1.8,98.0,2.0,51322.63997,12.32,8350.193523,81.4
15.7,68.0,0.887,56.6,0.1,95.0,1.8,95.0,2.0,554.71532,11.82,90.58501176,81.1
15.7,73.0,0.88,55.7,0.1,89.0,1.7,89.0,2.0,51126.74139,12.04,8272.306757,88.0
15.4,75.0,0.872,55.2,0.1,86.0,1.7,86.0,1.9,46657.629,12.1,7423.228774,84.0
15.3,77.0,0.87,54.7,0.1,83.0,1.7,83.0,1.9,47654.18721,11.3,8053.557638,82.0
15.1,76.0,0.864,54.2,0.1,83.0,1.7,83.0,1.9,51386.37665,12.0,8329.731655,84.0
15.2,8.0,0.86,53.7,0.1,85.0,1.7,85.0,1.9,46586.6525,12.5,7453.8644,81.0
15.0,81.0,0.854,53.2,0.1,83.0,1.7,83.0,1.9,443.99361,12.4,69.92899358,79.8
14.9,85.0,0.848,52.7,0.1,86.0,1.7,86.0,1.9,38242.4252,12.4,5992.588029,79.4
14.7,86.0,0.841,52.2,0.1,83.0,1.7,83.0,1.9,36693.4262,12.1,5316.877456,79.3
14.7,88.0,0.837,51.7,0.1,84.0,1.7,84.0,1.9,3212.9355,12.2,504.4308735,78.8
16.1,9.0,0.847,51.2,0.1,83.0,1.7,82.0,1.9,26351.37568,12.5,3979.057728,78.7
15.5,92.0,0.837,5.6,0.1,84.0,1.7,83.0,1.9,24489.73553,12.4,3582.848308,78.6
15.4,96.0,0.833,5.1,0.1,81.0,1.7,71.0,1.9,24517.26745,13.2,3557.455507,78.1
12.7,118.0,0.758,52.5,0.1,96.0,2.8,98.0,2.9,55.31382,3.65,0.0,72.7
12.2,119.0,0.752,51.5,0.1,94.0,2.8,97.0,2.9,7891.299776,0.01,306.1824313,72.5
11.9,121.0,0.745,5.6,0.1,93.0,2.8,96.0,2.8,7875.756953,2.14,275.6514934,72.2
11.8,123.0,0.742,49.7,0.1,89.0,2.8,92.0,2.8,7496.335728,0.01,285.6103912,71.9
11.7,125.0,0.741,48.8,0.1,87.0,2.8,91.0,2.9,7189.691229,1.98,263.142699,71.6
11.7,13.0,0.737,48.0,0.1,81.0,2.8,85.0,2.9,5842.85784,1.98,246.5686008,71.1
11.6,132.0,0.728,47.3,0.1,81.0,2.8,84.0,2.9,495.294791,2.1,22.48638351,78.0
11.6,141.0,0.719,46.6,0.1,81.0,2.8,85.0,2.9,5574.6382,1.18,206.2616134,73.0
11.6,14.0,0.708,45.9,0.1,79.0,2.8,81.0,2.9,3851.437869,1.02,176.0107106,73.0
10.7,154.0,0.682,45.3,0.1,78.0,2.9,8.0,2.9,2473.85776,0.85,105.6337264,69.2
11.2,162.0,0.675,44.7,0.1,75.0,2.9,79.0,3.0,1578.4239,0.73,81.28883085,68.4
11.0,154.0,0.668,44.2,0.1,77.0,3.0,78.0,3.0,145.2163,0.62,8.59680496,68.4
10.8,154.0,0.659,43.6,0.1,77.0,3.0,79.0,3.0,883.6439965,0.55,42.41491183,67.8
10.6,146.0,0.651,43.1,0.1,76.0,3.1,8.0,3.1,763.73858,0.55,39.33253687,67.8
10.4,151.0,0.642,42.6,0.1,77.0,3.1,77.0,3.1,73.6838434,0.51,4.104190077,67.5
10.1,16.0,0.636,42.1,0.1,76.0,3.2,75.0,3.1,655.974326,0.65,35.09462644,66.6
12.6,147.0,0.79,64.5,0.1,95.0,2.5,95.0,2.5,1741.142552,3.65,0.0,76.1
12.6,16.0,0.789,63.8,0.1,96.0,2.5,96.0,2.5,1741.142552,9.45,0.0,75.4
12.6,172.0,0.79,63.2,0.1,97.0,2.5,97.0,2.5,1741.142552,9.42,0.0,74.8
12.6,167.0,0.789,62.6,0.2,98.0,2.5,99.0,2.5,1741.142552,9.5,0.0,74.9
12.6,162.0,0.788,62.0,0.1,98.0,2.5,97.0,2.5,1741.142552,9.34,0.0,75.0
12.6,161.0,0.788,61.3,0.2,99.0,2.5,97.0,2.5,1741.142552,9.19,0.0,75.0
12.6,168.0,0.791,6.7,0.1,96.0,2.5,97.0,2.5,1741.142552,9.29,0.0,74.6
12.6,167.0,0.791,6.1,0.1,93.0,2.5,93.0,2.5,1741.142552,10.15,0.0,74.5
12.5,167.0,0.79,59.4,0.1,95.0,2.5,95.0,2.5,1741.142552,10.75,0.0,74.4
12.4,171.0,0.788,58.7,0.1,95.0,2.5,94.0,2.5,1741.142552,11.07,0.0,74.2
12.4,172.0,0.786,58.1,0.1,93.0,2.6,93.0,2.5,1741.142552,10.49,0.0,74.1
12.3,174.0,0.784,57.4,0.1,93.0,2.6,92.0,2.5,1741.142552,10.1,0.0,73.8
12.2,189.0,0.783,56.7,0.1,92.0,2.6,93.0,2.5,1741.142552,10.68,0.0,73.2
12.1,19.0,0.781,56.0,0.1,94.0,2.6,93.0,2.6,1741.142552,10.85,0.0,73.1
12.1,189.0,0.779,55.2,0.2,99.0,2.7,98.0,2.6,1741.142552,11.64,0.0,72.9
12.0,192.0,0.0,54.4,0.1,99.0,2.7,91.0,2.6,1741.142552,12.15,0.0,72.6
14.5,69.0,0.823,63.6,0.1,98.0,6.2,98.0,6.1,22688.87824,3.65,0.0,76.9
14.5,7.0,0.815,62.2,0.1,99.0,6.1,99.0,6.0,251.18329,1.65,3.968695982,76.7
14.5,71.0,0.812,61.5,0.1,99.0,6.1,99.0,6.0,23649.36661,1.7,2211.215778,76.5
14.4,76.0,0.812,6.8,0.1,99.0,6.1,99.0,6.0,2281.1242,1.66,197.7734681,76.1
14.4,73.0,0.81,6.1,0.1,99.0,6.0,99.0,5.9,2722.1389,1.93,266.7696122,76.1
14.4,74.0,0.814,59.3,0.1,98.0,6.0,97.0,5.9,19356.67236,1.95,332.9347646,76.0
14.4,76.0,0.815,58.5,0.1,97.0,6.0,97.0,5.9,2367.56535,2.0,231.5478912,75.8
14.4,77.0,0.813,57.6,0.1,97.0,6.1,97.0,5.9,2977.1153,2.0,278.3602806,75.6
14.2,79.0,0.81,56.8,0.1,98.0,6.1,98.0,5.9,1937.99549,2.1,170.7374027,75.5
14.0,81.0,0.806,56.1,0.1,98.0,6.1,98.0,5.9,17959.17854,2.05,1553.468944,75.3
13.9,83.0,0.803,55.6,0.1,98.0,6.1,98.0,5.9,15846.47641,2.16,1380.228095,75.2
13.7,85.0,0.798,55.2,0.1,97.0,6.1,97.0,5.9,14221.99259,2.16,1214.558167,75.0
13.5,87.0,0.796,55.0,0.1,98.0,6.2,98.0,5.9,1312.33457,1.99,106.4303336,74.9
13.3,9.0,0.794,54.8,0.1,99.0,6.2,99.0,6.0,12868.211,1.95,1150.418063,74.7
13.2,92.0,0.786,54.5,0.1,97.0,6.2,97.0,6.0,13636.34668,2.15,167.7270642,74.5
10.2,129.0,0.575,18.3,0.1,97.0,17.9,97.0,18.3,121.15812,3.65,0.0,71.8
10.0,132.0,0.57,17.7,0.1,97.0,18.1,97.0,18.6,184.56543,0.01,10.44640334,71.4
10.0,135.0,0.565,17.0,0.1,96.0,18.3,96.0,18.8,951.8894535,0.01,52.82986467,71.0
9.9,137.0,0.557,16.4,0.1,94.0,18.5,94.0,19.0,856.342857,0.01,59.2589257,77.0
9.4,14.0,0.545,15.8,0.1,96.0,18.7,96.0,19.2,835.789341,0.01,62.34988484,73.0
8.9,142.0,0.535,15.2,0.1,94.0,18.9,94.0,19.4,757.6717572,0.01,62.65945432,69.9
8.4,144.0,0.523,14.6,0.1,97.0,19.1,97.0,19.7,681.125368,0.01,53.26400378,69.5
8.6,147.0,0.52,14.0,0.1,96.0,19.3,96.0,19.9,615.7775411,0.01,42.48865034,69.1
8.6,151.0,0.513,13.5,0.1,94.0,19.5,96.0,2.1,541.651484,0.01,46.36536703,68.6
8.4,152.0,0.506,13.0,0.1,94.0,19.7,95.0,2.3,494.51466,0.01,42.3304549,68.2
8.2,155.0,0.499,12.5,0.1,93.0,19.9,94.0,2.5,484.155471,0.01,38.05462002,67.8
8.1,158.0,0.491,12.0,0.1,99.0,2.1,88.0,2.7,46.7579167,0.01,4.11469667,67.3
7.9,161.0,0.484,11.6,0.1,87.0,2.3,9.0,2.9,432.7388972,0.01,35.48458957,66.8
7.7,164.0,0.476,11.2,0.1,83.0,2.5,83.0,21.1,4.6135745,0.01,0.397228764,66.3
7.5,168.0,0.468,1.8,0.1,85.0,2.7,85.0,21.3,42.5981152,0.01,3.395069781,65.8
7.3,173.0,0.459,1.4,0.1,82.0,2.9,83.0,21.5,45.63371,0.01,3.69633051,65.3
15.3,98.0,0.794,54.5,0.1,97.0,3.8,97.0,3.7,15557.8381,3.65,0.0,75.5
15.3,1.0,0.793,53.7,0.1,94.0,3.8,95.0,3.7,15359.66971,8.82,294.9056584,75.4
15.3,11.0,0.792,53.0,0.1,91.0,3.8,91.0,3.8,15472.7814,8.74,263.0372838,75.2
15.3,12.0,0.785,52.2,0.1,87.0,3.8,88.0,3.8,15384.8749,8.61,260.0043858,75.1
15.5,14.0,0.78,51.4,0.1,91.0,3.8,91.0,3.8,15534.1574,8.51,173.9825629,74.9
15.8,16.0,0.781,5.7,0.1,86.0,3.8,9.0,3.8,1595.91232,8.41,154.9630863,74.7
15.3,111.0,0.775,49.2,0.1,85.0,3.9,85.0,3.9,1657.3228,8.95,25.52277112,74.4
15.0,113.0,0.771,48.4,0.1,93.0,3.9,93.0,3.9,16462.48556,8.47,1641.30981,74.2
14.6,117.0,0.761,46.9,0.1,92.0,4.0,91.0,4.0,14223.86576,8.01,1311.440423,73.9
14.4,119.0,0.757,46.2,0.2,93.0,4.1,93.0,4.0,12868.8639,7.68,166.0083443,73.8
14.2,121.0,0.753,45.4,0.4,89.0,4.1,9.0,4.1,1228.5447,7.65,13.5139917,73.7
14.0,123.0,0.749,44.6,0.8,87.0,4.2,86.0,4.1,11675.39395,7.59,133.099491,73.5
14.0,125.0,0.75,43.8,0.7,84.0,4.2,93.0,4.2,11513.87189,7.38,138.1664627,73.4
14.0,127.0,0.741,43.0,0.9,93.0,4.3,86.0,4.2,11568.1111,7.43,1140.615754,73.3
15.6,196.0,0.798,62.3,0.1,99.0,1.9,99.0,2.0,5949.11677,3.65,0.0,72.3
15.7,199.0,0.796,61.7,0.1,97.0,1.9,97.0,2.0,8318.429294,13.94,1147.1114,72.0
15.7,23.0,0.796,61.1,0.1,98.0,2.0,98.0,2.0,7978.825443,14.66,1109.854619,71.7
15.6,194.0,0.793,6.5,0.1,98.0,2.0,98.0,2.1,694.243915,16.35,91.70962117,71.9
15.5,232.0,0.787,59.9,0.1,98.0,2.0,98.0,2.1,6519.71753,17.31,846.9113071,72.0
15.4,226.0,0.771,58.7,0.1,96.0,2.1,98.0,2.2,5176.172649,14.09,434.7985025,70.0
15.1,224.0,0.755,58.2,0.1,97.0,2.1,98.0,2.3,6376.183153,14.67,501.8056141,70.0
14.9,226.0,0.739,57.7,0.1,95.0,2.2,9.0,2.3,4735.484827,14.22,464.077513,69.8
14.6,243.0,0.723,57.2,0.1,99.0,2.2,97.0,2.4,3848.215966,12.6,364.426052,68.9
14.4,252.0,0.713,56.7,0.1,99.0,2.3,98.0,2.5,3126.71767,11.01,45.65007798,68.1
14.1,247.0,0.703,56.2,0.1,99.0,2.4,99.0,2.5,2378.33927,12.05,42.33443901,68.2
13.6,262.0,0.687,55.3,0.1,99.0,2.5,99.0,2.7,1479.383142,12.23,145.4233629,67.2
13.1,247.0,0.675,54.4,0.1,99.0,2.7,99.0,2.8,1276.28834,12.98,24.24947846,68.0
16.6,74.0,0.895,63.7,0.1,99.0,1.0,99.0,1.0,4356.875,3.65,0.0,81.1
16.3,77.0,0.889,63.0,0.1,99.0,1.0,99.0,0.9,4651.38647,11.77,702.359357,87.0
16.2,78.0,0.886,62.6,0.1,99.0,0.9,99.0,0.9,4474.5717,10.08,664.4738975,83.0
16.1,8.0,0.884,62.3,0.1,98.0,0.9,98.0,0.9,4772.77415,10.11,713.5297354,83.0
15.9,81.0,0.878,61.9,0.1,98.0,0.9,98.0,0.9,4438.23741,10.22,665.7356115,80.0
15.8,85.0,0.876,61.6,0.1,98.0,0.9,98.0,0.9,4488.5615,10.05,671.9376566,79.8
15.8,87.0,0.874,61.3,0.1,99.0,0.8,99.0,0.8,48424.58927,10.47,7191.051507,79.5
15.8,86.0,0.871,6.9,0.1,98.0,0.8,99.0,0.8,4443.83131,10.25,640.3560918,79.5
15.7,85.0,0.865,6.6,0.1,98.0,0.8,99.0,0.8,38852.3613,10.98,5579.199083,79.4
15.7,89.0,0.861,6.2,0.1,97.0,0.8,97.0,0.8,36967.28292,12.27,5068.214488,78.9
18.8,91.0,0.88,59.8,0.1,95.0,0.8,96.0,0.8,35589.71295,12.05,5160.508378,78.8
18.6,95.0,0.878,59.4,0.1,95.0,0.8,96.0,0.8,3743.95693,11.28,507.306164,78.3
18.8,99.0,0.875,59.0,0.1,95.0,0.8,96.0,0.8,2552.3328,11.29,320.3177664,78.0
18.2,1.0,0.873,58.5,0.1,95.0,0.8,96.0,0.8,23121.56635,11.01,2943.375396,78.0
18.0,11.0,0.869,58.1,0.1,95.0,0.8,96.0,0.8,2327.4591,11.21,287.2084529,77.6
12.8,175.0,0.706,5.9,0.2,94.0,3.5,94.0,3.4,4849.997495,3.65,0.0,71.0
12.8,177.0,0.705,5.1,0.2,95.0,3.4,95.0,3.4,4852.223666,6.58,670.0920883,70.0
12.9,18.0,0.706,49.3,0.2,95.0,3.4,95.0,3.4,4688.538443,6.56,629.2018591,69.8
12.5,189.0,0.702,48.5,0.1,98.0,3.5,98.0,3.4,4673.63848,6.66,582.8027185,69.4
12.4,188.0,0.7,47.8,0.5,95.0,3.5,95.0,3.4,4516.24675,6.64,605.6286892,69.4
12.4,186.0,0.7,47.0,0.2,96.0,3.5,96.0,3.4,4344.15177,6.76,569.9527122,69.5
12.7,184.0,0.7,46.3,0.3,97.0,3.5,98.0,3.4,4258.788611,6.85,549.8096097,69.5
12.8,181.0,0.699,45.7,0.1,94.0,3.5,94.0,3.4,447.22796,7.22,51.25232422,69.6
